Genes
NAT8L
MTOR
RPTOR
PRKN
MYC
SIRT1
SIRT6
BECN1
HIF1A
NFKB1
TGFB1
TCIM
RBM24
DNM1L
TFAM
MFN1
MFN2
PINK1
PRKN
NLRP3
TACO1
SLC2A1
SLC2A3
PKM
